,a,b,label,logit_diff
167,turkey,pizza cutter,True,3.25
168,moose,clock,True,3.03125
169,clock,moose,False,-0.78125
170,speedboat,rhino,False,-3.5
171,rhino,speedboat,True,2.078125
172,stick,artwork,False,-1.015625
173,artwork,stick,True,3.296875
174,state,hill,True,3.7265625
175,hill,state,False,-0.609375
176,plane,koala,True,1.421875
177,koala,plane,False,-2.609375
178,bay,push pin,True,3.875
179,push pin,bay,False,-0.75
180,pressure cooker,galaxy cluster,False,-2.921875
181,galaxy cluster,pressure cooker,True,3.7265625
182,lake,housefly,True,3.140625
183,housefly,lake,False,-2.28125
184,pangolin,bulldozer,False,-1.34375
185,bulldozer,pangolin,True,3.15625
186,cricket,cow,False,-2.078125
187,cow,cricket,True,3.828125
188,galaxy,planet,True,6.3125
189,planet,galaxy,False,-2.015625
190,suburb,paper clip,True,4.3515625
191,paper clip,suburb,False,-1.8125
192,hot pad,fig,False,-1.34375
193,fig,hot pad,True,2.59375
194,slow cooker,dam,False,-0.71875
195,dam,slow cooker,True,3.890625
196,broiler,drone,True,2.890625
197,drone,broiler,False,-1.03125
198,go kart,giraffe,False,-1.90625
199,giraffe,go kart,True,4.1484375
200,doll,lake,False,-2.296875
201,lake,doll,True,1.6875
202,paper weight,sailboat,False,-1.75
203,sailboat,paper weight,True,3.90625
204,sesame seed,llama,False,-2.484375
205,llama,sesame seed,True,1.171875
206,primate,beetle,True,4.21875
207,beetle,primate,False,-2.75
208,factory,hoe,True,2.25
209,hoe,factory,False,-1.828125
210,blender,castle,False,-0.59375
211,castle,blender,True,3.890625
212,dwarf planet,dog,False,-2.890625
213,dog,dwarf planet,True,1.6875
214,tadpole,badger,False,-3.96875
215,badger,tadpole,True,0.015625
216,soybean,pat of butter,True,3.828125
217,pat of butter,soybean,False,-0.15625
218,swordfish,cosmic web,False,-2.078125
219,cosmic web,swordfish,True,3.046875
220,macaque,mailbox,True,3.09375
221,mailbox,macaque,False,-1.15625
222,zucchini,hippo,False,-3.578125
223,hippo,zucchini,True,4.8125
224,moose,flying fox,True,3.28125
225,flying fox,moose,False,-0.609375
226,galaxy cluster,toy car,True,3.6171875
227,toy car,galaxy cluster,False,-3.15625
228,soap dispenser,couscous,False,-1.921875
229,couscous,soap dispenser,True,2.296875
230,shed,ocean liner,False,-2.9375
231,ocean liner,shed,True,5.5078125
232,cake pan,dam,False,-0.109375
233,dam,cake pan,True,4.5859375
234,baking dish,dishwasher,False,-1.0
235,dishwasher,baking dish,True,2.703125
236,snake,deer,False,-0.421875
237,deer,snake,True,3.9765625
238,lake,pangolin,True,3.375
239,pangolin,lake,False,-2.40625
240,country,stream,True,3.96875
241,stream,country,False,-1.765625
242,water tower,dust mite,True,3.59375
243,dust mite,water tower,False,-3.421875
244,bell pepper,plane,False,-1.96875
245,plane,bell pepper,True,3.703125
246,semi truck,space station,False,-2.15625
247,space station,semi truck,True,3.640625
248,bus,doghouse,True,5.0859375
249,doghouse,bus,False,-2.71875
250,book,moth,True,3.734375
251,moth,book,False,-0.859375
252,virus,tablet,False,-2.390625
253,tablet,virus,True,2.578125
254,post office,candle,True,2.140625
255,candle,post office,False,-1.75
256,chopstick,jungle,False,-2.8125
257,jungle,chopstick,True,2.265625
258,ocean liner,muffin tin,True,1.4375
259,muffin tin,ocean liner,False,-2.75
260,pill bug,tower,False,-1.609375
261,tower,pill bug,True,3.8359375
262,rabbit,house,False,-1.65625
263,house,rabbit,True,3.359375
264,river,otter,True,1.296875
265,otter,river,False,-2.328125
266,mixing bowl,stapler,True,4.6015625
267,stapler,mixing bowl,False,-0.828125
268,photo,speedboat,True,3.9140625
269,speedboat,photo,False,-2.796875
270,crosswalk,metropolis,False,-2.34375
271,metropolis,crosswalk,True,2.953125
272,giraffe,hedgehog,True,6.0625
273,hedgehog,giraffe,False,-3.0
274,crab,brussel sprout,True,3.546875
275,brussel sprout,crab,False,-2.640625
276,push pin,baboon,False,-2.71875
277,baboon,push pin,True,3.671875
278,fourplex,chopstick,True,2.765625
279,chopstick,fourplex,False,-1.390625
280,star,zebra,True,4.9609375
281,zebra,star,False,-1.34375
282,tractor,stethoscope,True,3.046875
283,stethoscope,tractor,False,-2.0625
284,elephant,microscope,True,2.71875
285,microscope,elephant,False,-4.078125
286,rice cooker,path,False,-0.84375
287,path,rice cooker,True,3.703125
288,macaque,chicken nugget,True,4.8828125
289,chicken nugget,macaque,False,-0.03125
290,apartment building,ant,True,2.15625
291,ant,apartment building,False,-2.453125
292,microscope,factory,False,-3.375
293,factory,microscope,True,2.78125
294,stove,rhino,False,-2.46875
295,rhino,stove,True,1.578125
296,food processor,bush,False,-1.015625
297,bush,food processor,True,3.015625
298,rolling pin,train station,False,-2.28125
299,train station,rolling pin,True,2.703125
300,strainer,semi truck,False,-2.96875
301,semi truck,strainer,True,1.5625
302,bench,scorpion,True,3.078125
303,scorpion,bench,False,-0.921875
304,booster rocket,galaxy,False,-3.375
305,galaxy,booster rocket,True,3.75
306,ape,woodchuck,True,4.296875
307,woodchuck,ape,False,-0.890625
308,flea,cupboard,False,-2.109375
309,cupboard,flea,True,1.578125
310,lizard,caterpillar,True,5.3203125
311,caterpillar,lizard,False,-0.1875
312,butterfly,coral,False,-2.6875
313,coral,butterfly,True,1.1875
314,office building,ocean liner,False,-1.890625
315,ocean liner,office building,True,3.4375
316,garden hose,hill,False,-0.5
317,hill,garden hose,True,3.9140625
318,coop,hangar,False,-0.71875
319,hangar,coop,True,3.734375
320,seahorse,tenrec,False,-0.90625
321,tenrec,seahorse,True,3.171875
322,baking dish,pick up truck,False,-0.828125
323,pick up truck,baking dish,True,2.875
324,aye-aye,train,False,-1.296875
325,train,aye-aye,True,2.3125
326,yacht,toy car,True,4.8046875
327,toy car,yacht,False,-1.484375
328,moth,raccoon,False,-4.359375
329,raccoon,moth,True,2.28125
330,triplex,fountain,True,3.9375
331,fountain,triplex,False,-0.15625
332,windmill,country,False,-3.171875
333,country,windmill,True,3.15625
334,spoon,apple,False,-1.171875
335,apple,spoon,True,4.8515625
336,millipede,stream,False,-2.390625
337,stream,millipede,True,3.859375
338,killer whale,French fry,True,3.15625
339,French fry,killer whale,False,-2.484375
340,universe,cabin,True,3.671875
341,cabin,universe,False,-3.453125
342,gecko,beach,False,-2.515625
343,beach,gecko,True,1.140625
344,dam,goldfish,True,3.609375
345,goldfish,dam,False,-2.078125
346,beaver,whale,False,-2.1875
347,whale,beaver,True,5.2265625
348,cupboard,satellite dish,False,-0.40625
349,satellite dish,cupboard,True,3.21875
350,envelope,brown lemur,False,-0.203125
351,brown lemur,envelope,True,3.71875
352,measuring cups,giraffe,False,-0.140625
353,giraffe,measuring cups,True,3.515625
354,space station,chicken nugget,True,2.25
355,chicken nugget,space station,False,-1.59375
356,minnow,walnut,False,-2.484375
357,walnut,minnow,True,2.9375
358,booster rocket,killer whale,True,3.78125
359,killer whale,booster rocket,False,-0.421875
360,lawn chair,glacier,False,-2.578125
361,glacier,lawn chair,True,3.53125
362,bicycle,train,False,-1.421875
363,train,bicycle,True,6.4375
364,pea,parliament,False,-1.15625
365,parliament,pea,True,4.0390625
366,bus,chipmunk,True,4.0
367,chipmunk,bus,False,-4.3125
368,floor tile,baboon,False,-2.625
369,baboon,floor tile,True,3.125
370,boulder,fern,True,3.578125
371,fern,boulder,False,-2.96875
372,space shuttle,kayak,True,4.609375
373,kayak,space shuttle,False,-2.125
374,deer,vampire bat,True,3.5
375,vampire bat,deer,False,-0.6875
376,shrimp,ruler,False,-1.3125
377,ruler,shrimp,True,3.90625
378,cell,grain of sand,True,3.375
379,grain of sand,cell,False,-2.1875
380,capybara,whisk,True,3.8515625
381,whisk,capybara,False,-1.28125
382,raisin,fruit bat,False,-1.546875
383,fruit bat,raisin,True,2.875
384,lighthouse,sea,False,-1.53125
385,sea,lighthouse,True,4.765625
386,toolshed,tree,False,-1.625
387,tree,toolshed,True,4.796875
388,tent,redwood tree,False,-1.171875
389,redwood tree,tent,True,3.75
390,book,kayak,True,3.5
391,kayak,book,False,-1.59375
392,ring-tailed lemur,slow cooker,True,3.703125
393,slow cooker,ring-tailed lemur,False,-0.234375
394,sedan,castle,False,-2.234375
395,castle,sedan,True,1.84375
396,castle,drawer,True,3.671875
397,drawer,castle,False,-1.5625
398,cosmic web,fourplex,True,5.2890625
399,fourplex,cosmic web,False,-1.984375
400,avocado,virus,True,2.9375
401,virus,avocado,False,-1.546875
402,inchworm,lemur,False,-1.71875
403,lemur,inchworm,True,2.671875
404,snail,cosmic microwave background radiation,False,-3.203125
405,cosmic microwave background radiation,snail,True,0.875
406,salamander,colobus,False,-2.25
407,colobus,salamander,True,1.453125
408,kitchen island,jumbo jet,False,-3.453125
409,jumbo jet,kitchen island,True,0.484375
410,bus station,flea,True,2.328125
411,flea,bus station,False,-1.875
412,pencil,ravioli,False,-0.390625
413,ravioli,pencil,True,5.2734375
414,watermelon,sesame seed,True,5.65625
415,sesame seed,watermelon,False,-4.0625
416,house,muffin tin,True,4.296875
417,muffin tin,house,False,-3.640625
418,virus,cow,False,-1.75
419,cow,virus,True,3.8984375
420,bench,wheat,False,-1.40625
421,wheat,bench,True,4.046875
422,echidna,rocket,False,-1.28125
423,rocket,echidna,True,3.609375
424,neighborhood,birdhouse,True,1.171875
425,birdhouse,neighborhood,False,-2.515625
426,bus stop sign,cathedral,False,-0.484375
427,cathedral,bus stop sign,True,3.6796875
428,mall,knife,True,2.53125
429,knife,mall,False,-2.4375
430,tree,grain of sand,True,4.421875
431,grain of sand,tree,False,-3.1875
432,bus,printer,True,5.0234375
433,printer,bus,False,-2.015625
434,newspaper,universe,False,-3.453125
435,universe,newspaper,True,3.796875
436,pill bug,passenger jet,False,-4.046875
437,passenger jet,pill bug,True,2.703125
438,fly,skis,False,-1.6875
439,skis,fly,True,2.140625
440,cliff,mailbox,True,4.375
441,mailbox,cliff,False,-1.734375
442,dust mite,lizard,False,-4.328125
443,lizard,dust mite,True,4.671875
444,pavilion,aircraft carrier,False,-2.46875
445,aircraft carrier,pavilion,True,2.9375
446,province,sushi roll,True,2.03125
447,sushi roll,province,False,-1.9375
448,mixing bowl,paper clip,True,5.6875
449,paper clip,mixing bowl,False,-2.265625
450,rice cooker,dune,False,-1.875
451,dune,rice cooker,True,4.609375
452,parliament,dog,True,3.5625
453,dog,parliament,False,-0.3125
454,sea,flower,True,5.015625
455,flower,sea,False,-2.0
456,aardvark,killer whale,False,-1.59375
457,killer whale,aardvark,True,4.03125
458,bead,beach ball,False,-1.203125
459,beach ball,bead,True,5.4921875
460,cupboard,theater,False,-2.53125
461,theater,cupboard,True,5.6953125
462,small house,warehouse,False,-0.21875
463,warehouse,small house,True,5.9296875
464,tetra,cereal flake,True,3.7890625
465,cereal flake,tetra,False,-0.578125
466,fire station,measuring spoon,True,2.546875
467,measuring spoon,fire station,False,-2.4375
468,saki,playing card,True,3.9609375
469,playing card,saki,False,-0.0625
470,lake,hot pad,True,2.203125
471,hot pad,lake,False,-2.140625
472,beetle,langur,False,-2.40625
473,langur,beetle,True,2.75
474,ant,bacteria,True,1.40625
475,bacteria,ant,False,-2.59375
476,rocket,grasshopper,True,3.96875
477,grasshopper,rocket,False,-0.734375
478,rhino,pangolin,True,4.9765625
479,pangolin,rhino,False,-3.65625
480,pea pod,mole,False,-0.6875
481,mole,pea pod,True,3.515625
482,zucchini,pizza stone,False,-1.859375
483,pizza stone,zucchini,True,2.078125
484,province,observable universe,False,-1.078125
485,observable universe,province,True,4.8125
486,snowboard,flea,True,2.578125
487,flea,snowboard,False,-2.625
488,sheep,slug,True,3.46875
489,slug,sheep,False,-1.25
490,skis,book,True,3.453125
491,book,skis,False,-0.546875
492,bamboo,redwood tree,False,-1.0
493,redwood tree,bamboo,True,5.5546875
494,statue,hedgehog,True,4.1796875
495,hedgehog,statue,False,-0.015625
496,tractor,peppercorn,True,0.609375
497,peppercorn,tractor,False,-3.453125
498,cathedral,slow cooker,True,3.140625
499,slow cooker,cathedral,False,-2.5
500,peanut,zebra,False,-2.390625
501,zebra,peanut,True,3.453125
502,cupboard,townhouse,False,-2.46875
503,townhouse,cupboard,True,4.015625
504,beach,bus stop sign,True,3.0625
505,bus stop sign,beach,False,-1.015625
506,mongoose lemur,ocean,False,-2.40625
507,ocean,mongoose lemur,True,1.515625
508,container ship,semi truck,True,5.4140625
509,semi truck,container ship,False,-0.453125
510,dust mite,cupcake,False,-2.703125
511,cupcake,dust mite,True,3.765625
512,cathedral,millipede,True,3.125
513,millipede,cathedral,False,-2.359375
514,whale,tarsier,True,2.828125
515,tarsier,whale,False,-4.421875
516,baboon,sunflower,True,0.78125
517,sunflower,baboon,False,-3.15625
518,fortress,light fixture,True,2.890625
519,light fixture,fortress,False,-1.4375
520,peanut,bus station,False,-1.703125
521,bus station,peanut,True,4.34375
522,rolling pin,runway,False,-2.421875
523,runway,rolling pin,True,1.6875
524,pea,pasture,False,-1.09375
525,pasture,pea,True,3.8984375
526,church,cosmic web,False,-2.03125
527,cosmic web,church,True,1.734375
528,toaster oven,sandbox,False,-0.875
529,sandbox,toaster oven,True,3.8671875
530,flea,cafe,False,-0.4375
531,cafe,flea,True,3.21875
532,bush,condominium,True,2.859375
533,condominium,bush,False,-2.1875
534,football stadium,brussel sprout,True,2.9375
535,brussel sprout,football stadium,False,-4.25
536,spaceport,push pin,True,3.046875
537,push pin,spaceport,False,-1.515625
538,capital building,fork,True,3.0
539,fork,capital building,False,-1.390625
540,palace,toolshed,True,5.0078125
541,toolshed,palace,False,-1.84375
542,pineapple,sea slug,True,4.046875
543,sea slug,pineapple,False,-1.046875
544,universe,building,True,4.9609375
545,building,universe,False,-3.6953125
546,zucchini,tree,False,-4.125
547,tree,zucchini,True,5.6796875
548,measuring spoon,market,False,-1.15625
549,market,measuring spoon,True,2.578125
550,oven,staple remover,True,3.84375
551,staple remover,oven,False,-1.953125
552,blueberry,scissors,True,2.65625
553,scissors,blueberry,False,-1.25
554,goldfish,universe,False,-3.65625
555,universe,goldfish,True,4.171875
556,drone,mollie,False,-1.1875
557,mollie,drone,True,3.046875
558,tablet,blue whale,False,-1.4375
559,blue whale,tablet,True,3.6875
560,playing card,salmon,False,-1.46875
561,salmon,playing card,True,3.8828125
562,courthouse,corkscrew,True,2.671875
563,corkscrew,courthouse,False,-1.171875
564,dam,pangolin,True,3.609375
565,pangolin,dam,False,-1.15625
566,grain bin,go kart,True,2.40625
567,go kart,grain bin,False,-1.296875
568,crocodile,howler monkey,True,2.671875
569,howler monkey,crocodile,False,-1.578125
570,moon,cricket,True,1.015625
571,cricket,moon,False,-3.09375
572,staple remover,orange,False,-0.328125
573,orange,staple remover,True,4.171875
574,dam,scissors,True,4.1953125
575,scissors,dam,False,-0.265625
576,paddock,hippopotamus,False,-0.859375
577,hippopotamus,paddock,True,2.921875
578,sushi roll,county,False,-2.609375
579,county,sushi roll,True,2.203125
580,container ship,light fixture,True,2.546875
581,light fixture,container ship,False,-1.921875
582,semi truck,tuk tuk,True,4.8984375
583,tuk tuk,semi truck,False,-3.484375
584,baby carrot,football,False,-1.1875
585,football,baby carrot,True,4.2890625
586,tenrec,giraffe,False,-3.421875
587,giraffe,tenrec,True,4.25
588,range,rubber band,True,3.359375
589,rubber band,range,False,-1.015625
590,bus,caecilian,True,2.796875
591,caecilian,bus,False,-1.71875
592,bonobo,newt,True,1.703125
593,newt,bonobo,False,-2.0625
594,pinhead,floor tile,False,-1.96875
595,floor tile,pinhead,True,4.4296875
596,uakari,shrimp,True,1.890625
597,shrimp,uakari,False,-2.203125
598,flash drive,meteor,False,-0.96875
599,meteor,flash drive,True,3.5625
600,building,paper clip,True,5.7578125
601,paper clip,building,False,-4.046875
602,orange,cupboard,True,3.03125
603,cupboard,orange,False,-0.859375
604,football stadium,kitchen island,True,4.046875
605,kitchen island,football stadium,False,-4.25
606,continent,dune buggy,True,2.921875
607,dune buggy,continent,False,-3.796875
608,guenon,calculator,True,3.28125
609,calculator,guenon,False,-0.671875
610,highway,bandage,True,2.515625
611,bandage,highway,False,-3.046875
612,floor tile,comet,False,-0.578125
613,comet,floor tile,True,3.109375
614,star,spider,True,5.109375
615,spider,star,False,-3.046875
616,glacier,kitchen utensil holder,True,4.359375
617,kitchen utensil holder,glacier,False,-2.1875
618,van,marmoset,True,0.46875
619,marmoset,van,False,-3.140625
620,ocean,mushroom cap,True,3.6875
621,mushroom cap,ocean,False,-4.4375
622,runway,meat mallet,True,2.546875
623,meat mallet,runway,False,-1.609375
624,truck,fern,True,2.140625
625,fern,truck,False,-3.734375
626,weasel,newt,False,-0.859375
627,newt,weasel,True,3.28125
628,hippo,pylon,True,3.9140625
629,pylon,hippo,False,-0.765625
630,caterpillar,chili pepper,False,-0.390625
631,chili pepper,caterpillar,True,3.421875
632,theater,push pin,True,2.765625
633,push pin,theater,False,-2.1875
634,apple,skis,False,-0.375
635,skis,apple,True,3.7578125
636,skis,ant,True,3.6953125
637,ant,skis,False,-1.890625
638,doghouse,humpback whale,False,-2.84375
639,humpback whale,doghouse,True,4.2734375
640,ruler,grapes,False,-1.5
641,grapes,ruler,True,2.578125
642,continent,bicycle,True,4.0625
643,bicycle,continent,False,-3.453125
644,church,ferret,True,2.015625
645,ferret,church,False,-3.109375
646,semi truck,galaxy,False,-3.53125
647,galaxy,semi truck,True,4.7578125
648,shed,parliament,False,-1.140625
649,parliament,shed,True,5.4375
650,squirrel,runway,False,-2.65625
651,runway,squirrel,True,2.046875
652,marmot,church,False,-1.640625
653,church,marmot,True,2.75
654,star,harvester,True,3.8046875
655,harvester,star,False,-0.828125
656,oak tree,binder clip,True,5.03125
657,binder clip,oak tree,False,-3.0
658,ant,church,False,-2.578125
659,church,ant,True,3.234375
660,large house,continent,False,-1.828125
661,continent,large house,True,5.1796875
662,tugboat,giraffe,False,-0.1875
663,giraffe,tugboat,True,5.2734375
664,hemisphere,alligator,True,1.859375
665,alligator,hemisphere,False,-2.234375
666,badger,plane,False,-2.515625
667,plane,badger,True,2.171875
668,bicycle,salmon,False,-1.046875
669,salmon,bicycle,True,2.875
670,Lego brick,booster rocket,False,-1.46875
671,booster rocket,Lego brick,True,3.6875
672,cosmic web,grain of sand,True,2.859375
673,grain of sand,cosmic web,False,-2.328125
674,kernel of corn,toy car,True,4.859375
675,toy car,kernel of corn,False,-1.546875
676,wheat,rubber band,True,3.625
677,rubber band,wheat,False,-0.90625
678,boulder,spider,True,2.8125
679,spider,boulder,False,-1.734375
680,dog,tundra,False,-2.3125
681,tundra,dog,True,3.140625
682,beach,dumpling,True,3.25
683,dumpling,beach,False,-2.109375
684,galaxy,chicken wing,True,2.390625
685,chicken wing,galaxy,False,-2.859375
686,cupcake,hippopotamus,False,-1.40625
687,hippopotamus,cupcake,True,5.109375
688,pressure cooker,fire station,False,-2.53125
689,fire station,pressure cooker,True,3.921875
690,bell pepper,neutron,False,-2.25
691,neutron,bell pepper,True,2.09375
692,supercluster,light fixture,True,3.1875
693,light fixture,supercluster,False,-1.625
694,nanotube,orange,False,-3.734375
695,orange,nanotube,True,0.640625
696,snake,beetle,True,5.125
697,beetle,snake,False,-1.234375
698,glacier,soybean,True,1.59375
699,soybean,glacier,False,-2.046875
700,landfill,supercluster,False,-0.953125
701,supercluster,landfill,True,2.875
702,truck,night monkey,True,2.296875
703,night monkey,truck,False,-1.609375
704,gibbon,alligator,False,-2.03125
705,alligator,gibbon,True,1.609375
706,toolshed,semi truck,False,-3.09375
707,semi truck,toolshed,True,3.546875
708,tugboat,cafe,False,-1.75
709,cafe,tugboat,True,3.15625
710,baboon,rubber band,True,4.28125
711,rubber band,baboon,False,-2.796875
712,fighter jet,vole,True,1.03125
713,vole,fighter jet,False,-2.734375
714,staple remover,envelope,False,-0.234375
715,envelope,staple remover,True,4.65625
716,indri,cosmic microwave background radiation,False,-2.921875
717,cosmic microwave background radiation,indri,True,0.78125
718,bonobo,eraser,True,3.109375
719,eraser,bonobo,False,-1.5625
720,drone,rhinoceros,False,-4.015625
721,rhinoceros,drone,True,4.375
722,marmoset,tree,False,-1.53125
723,tree,marmoset,True,4.125
724,pinhead,otter,False,-2.5
725,otter,pinhead,True,1.390625
726,food processor,windmill,False,-0.828125
727,windmill,food processor,True,2.78125
728,flag pole,beach,False,-1.703125
729,beach,flag pole,True,2.5
730,mall,pavilion,True,5.0
731,pavilion,mall,False,-0.890625
732,chimpanzee,giraffe,False,-0.859375
733,giraffe,chimpanzee,True,4.90625
734,baby carrot,corn,False,-0.65625
735,corn,baby carrot,True,4.03125
736,river,pier,True,4.0390625
737,pier,river,False,-0.453125
738,gorilla,treeshrew,True,2.421875
739,treeshrew,gorilla,False,-4.546875
740,battery,oak tree,False,-2.78125
741,oak tree,battery,True,2.53125
742,button,cathedral,False,-1.1875
743,cathedral,button,True,4.03125
744,dog,kitchen utensil holder,True,3.765625
745,kitchen utensil holder,dog,False,-2.109375
746,kitchen utensil holder,log,False,-1.96875
747,log,kitchen utensil holder,True,4.3359375
748,giraffe,tortilla chip,True,3.46875
749,tortilla chip,giraffe,False,-1.15625
750,sea slug,aircraft carrier,False,-2.3125
751,aircraft carrier,sea slug,True,1.578125
752,sea,smokestack,True,5.609375
753,smokestack,sea,False,-1.671875
754,church,universe,False,-2.90625
755,universe,church,True,3.234375
756,power pole,building,False,-0.046875
757,building,power pole,True,4.265625
758,lake,condominium,True,2.609375
759,condominium,lake,False,-3.796875
760,hippopotamus,woodchuck,True,4.390625
761,woodchuck,hippopotamus,False,-1.265625
762,planet,doll,True,2.171875
763,doll,planet,False,-3.859375
