,a,b,label,logit_diff
167,turkey,pizza cutter,True,3.25
168,moose,clock,True,3.03125
169,clock,moose,False,-0.78125
170,speedboat,rhino,False,-3.5
171,rhino,speedboat,True,2.078125
172,stick,artwork,False,-1.015625
173,artwork,stick,True,3.296875
174,state,hill,True,3.7265625
175,hill,state,False,-0.609375
176,plane,koala,True,1.421875
177,koala,plane,False,-2.609375
178,bay,push pin,True,3.875
179,push pin,bay,False,-0.75
180,pressure cooker,galaxy cluster,False,-2.921875
181,galaxy cluster,pressure cooker,True,3.7265625
182,lake,housefly,True,3.140625
183,housefly,lake,False,-2.28125
184,pangolin,bulldozer,False,-1.34375
185,bulldozer,pangolin,True,3.15625
186,cricket,cow,False,-2.078125
187,cow,cricket,True,3.828125
188,galaxy,planet,True,6.3125
189,planet,galaxy,False,-2.015625
190,suburb,paper clip,True,4.3515625
191,paper clip,suburb,False,-1.8125
192,hot pad,fig,False,-1.34375
193,fig,hot pad,True,2.59375
194,slow cooker,dam,False,-0.71875
195,dam,slow cooker,True,3.890625
196,broiler,drone,True,2.890625
197,drone,broiler,False,-1.03125
198,go kart,giraffe,False,-1.90625
199,giraffe,go kart,True,4.1484375
200,doll,lake,False,-2.296875
201,lake,doll,True,1.6875
202,paper weight,sailboat,False,-1.75
203,sailboat,paper weight,True,3.90625
204,sesame seed,llama,False,-2.484375
205,llama,sesame seed,True,1.171875
206,primate,beetle,True,4.21875
207,beetle,primate,False,-2.75
208,factory,hoe,True,2.25
209,hoe,factory,False,-1.828125
210,blender,castle,False,-0.59375
211,castle,blender,True,3.890625
212,dwarf planet,dog,False,-2.890625
213,dog,dwarf planet,True,1.6875
214,tadpole,badger,False,-3.96875
215,badger,tadpole,True,0.015625
216,soybean,pat of butter,True,3.828125
217,pat of butter,soybean,False,-0.15625
218,swordfish,cosmic web,False,-2.078125
219,cosmic web,swordfish,True,3.046875
220,macaque,mailbox,True,3.09375
221,mailbox,macaque,False,-1.15625
222,zucchini,hippo,False,-3.578125
223,hippo,zucchini,True,4.8125
224,moose,flying fox,True,3.28125
225,flying fox,moose,False,-0.609375
226,galaxy cluster,toy car,True,3.6171875
227,toy car,galaxy cluster,False,-3.15625
228,soap dispenser,couscous,False,-1.921875
229,couscous,soap dispenser,True,2.296875
230,shed,ocean liner,False,-2.9375
231,ocean liner,shed,True,5.5078125
232,cake pan,dam,False,-0.109375
233,dam,cake pan,True,4.5859375
234,baking dish,dishwasher,False,-1.0
235,dishwasher,baking dish,True,2.703125
236,snake,deer,False,-0.421875
237,deer,snake,True,3.9765625
238,lake,pangolin,True,3.375
239,pangolin,lake,False,-2.40625
240,country,stream,True,3.96875
241,stream,country,False,-1.765625
242,water tower,dust mite,True,3.59375
243,dust mite,water tower,False,-3.421875
244,bell pepper,plane,False,-1.96875
245,plane,bell pepper,True,3.703125
246,semi truck,space station,False,-2.15625
247,space station,semi truck,True,3.640625
248,bus,doghouse,True,5.0859375
249,doghouse,bus,False,-2.71875
250,book,moth,True,3.734375
251,moth,book,False,-0.859375
252,virus,tablet,False,-2.390625
253,tablet,virus,True,2.578125
254,post office,candle,True,2.140625
255,candle,post office,False,-1.75
256,chopstick,jungle,False,-2.8125
257,jungle,chopstick,True,2.265625
258,ocean liner,muffin tin,True,1.4375
259,muffin tin,ocean liner,False,-2.75
260,pill bug,tower,False,-1.609375
261,tower,pill bug,True,3.8359375
262,rabbit,house,False,-1.65625
263,house,rabbit,True,3.359375
264,river,otter,True,1.296875
265,otter,river,False,-2.328125
266,mixing bowl,stapler,True,4.6015625
267,stapler,mixing bowl,False,-0.828125
268,photo,speedboat,True,3.9140625
269,speedboat,photo,False,-2.796875
270,crosswalk,metropolis,False,-2.34375
271,metropolis,crosswalk,True,2.953125
272,semi truck,space station,False,-2.15625
273,space station,semi truck,True,3.640625
274,giraffe,hedgehog,True,6.0625
275,hedgehog,giraffe,False,-3.0
276,crab,brussel sprout,True,3.546875
277,brussel sprout,crab,False,-2.640625
278,push pin,baboon,False,-2.71875
279,baboon,push pin,True,3.671875
280,fourplex,chopstick,True,2.765625
281,chopstick,fourplex,False,-1.390625
282,star,zebra,True,4.9609375
283,zebra,star,False,-1.34375
284,tractor,stethoscope,True,3.046875
285,stethoscope,tractor,False,-2.0625
286,elephant,microscope,True,2.71875
287,microscope,elephant,False,-4.078125
288,rice cooker,path,False,-0.84375
289,path,rice cooker,True,3.703125
290,macaque,chicken nugget,True,4.8828125
291,chicken nugget,macaque,False,-0.03125
292,apartment building,ant,True,2.15625
293,ant,apartment building,False,-2.453125
294,microscope,factory,False,-3.375
295,factory,microscope,True,2.78125
296,stove,rhino,False,-2.46875
297,rhino,stove,True,1.578125
298,food processor,bush,False,-1.015625
299,bush,food processor,True,3.015625
300,rolling pin,train station,False,-2.28125
301,train station,rolling pin,True,2.703125
302,strainer,semi truck,False,-2.96875
303,semi truck,strainer,True,1.5625
304,bench,scorpion,True,3.078125
305,scorpion,bench,False,-0.921875
306,booster rocket,galaxy,False,-3.375
307,galaxy,booster rocket,True,3.75
308,ape,woodchuck,True,4.296875
309,woodchuck,ape,False,-0.890625
310,flea,cupboard,False,-2.109375
311,cupboard,flea,True,1.578125
312,lizard,caterpillar,True,5.3203125
313,caterpillar,lizard,False,-0.1875
314,butterfly,coral,False,-2.6875
315,coral,butterfly,True,1.1875
316,office building,ocean liner,False,-1.890625
317,ocean liner,office building,True,3.4375
318,garden hose,hill,False,-0.5
319,hill,garden hose,True,3.9140625
320,coop,hangar,False,-0.71875
321,hangar,coop,True,3.734375
322,seahorse,tenrec,False,-0.90625
323,tenrec,seahorse,True,3.171875
324,baking dish,pick up truck,False,-0.828125
325,pick up truck,baking dish,True,2.875
326,aye-aye,train,False,-1.296875
327,train,aye-aye,True,2.3125
328,yacht,toy car,True,4.8046875
329,toy car,yacht,False,-1.484375
330,moth,raccoon,False,-4.359375
331,raccoon,moth,True,2.28125
332,triplex,fountain,True,3.9375
333,fountain,triplex,False,-0.15625
334,windmill,country,False,-3.171875
335,country,windmill,True,3.15625
336,spoon,apple,False,-1.171875
337,apple,spoon,True,4.8515625
338,millipede,stream,False,-2.390625
339,stream,millipede,True,3.859375
340,killer whale,French fry,True,3.15625
341,French fry,killer whale,False,-2.484375
342,universe,cabin,True,3.671875
343,cabin,universe,False,-3.453125
344,gecko,beach,False,-2.515625
345,beach,gecko,True,1.140625
346,dam,goldfish,True,3.609375
347,goldfish,dam,False,-2.078125
348,beaver,whale,False,-2.1875
349,whale,beaver,True,5.2265625
350,cupboard,satellite dish,False,-0.40625
351,satellite dish,cupboard,True,3.21875
352,envelope,brown lemur,False,-0.203125
353,brown lemur,envelope,True,3.71875
354,measuring cups,giraffe,False,-0.140625
355,giraffe,measuring cups,True,3.515625
356,space station,chicken nugget,True,2.25
357,chicken nugget,space station,False,-1.59375
358,minnow,walnut,False,-2.484375
359,walnut,minnow,True,2.9375
360,booster rocket,killer whale,True,3.78125
361,killer whale,booster rocket,False,-0.421875
362,lawn chair,glacier,False,-2.578125
363,glacier,lawn chair,True,3.53125
364,bicycle,train,False,-1.421875
365,train,bicycle,True,6.4375
366,pea,parliament,False,-1.15625
367,parliament,pea,True,4.0390625
368,bus,chipmunk,True,4.0
369,chipmunk,bus,False,-4.3125
370,floor tile,baboon,False,-2.625
371,baboon,floor tile,True,3.125
372,boulder,fern,True,3.578125
373,fern,boulder,False,-2.96875
374,space shuttle,kayak,True,4.609375
375,kayak,space shuttle,False,-2.125
376,deer,vampire bat,True,3.5
377,vampire bat,deer,False,-0.6875
378,shrimp,ruler,False,-1.3125
379,ruler,shrimp,True,3.90625
380,cell,grain of sand,True,3.375
381,grain of sand,cell,False,-2.1875
382,capybara,whisk,True,3.8515625
383,whisk,capybara,False,-1.28125
384,raisin,fruit bat,False,-1.546875
385,fruit bat,raisin,True,2.875
386,lighthouse,sea,False,-1.53125
387,sea,lighthouse,True,4.765625
388,toolshed,tree,False,-1.625
389,tree,toolshed,True,4.796875
390,tent,redwood tree,False,-1.171875
391,redwood tree,tent,True,3.75
392,book,kayak,True,3.5
393,kayak,book,False,-1.59375
394,ring-tailed lemur,slow cooker,True,3.703125
395,slow cooker,ring-tailed lemur,False,-0.234375
396,sedan,castle,False,-2.234375
397,castle,sedan,True,1.84375
398,castle,drawer,True,3.671875
399,drawer,castle,False,-1.5625
400,cosmic web,fourplex,True,5.2890625
401,fourplex,cosmic web,False,-1.984375
402,avocado,virus,True,2.9375
403,virus,avocado,False,-1.546875
404,inchworm,lemur,False,-1.71875
405,lemur,inchworm,True,2.671875
406,snail,cosmic microwave background radiation,False,-3.203125
407,cosmic microwave background radiation,snail,True,0.875
408,salamander,colobus,False,-2.25
409,colobus,salamander,True,1.453125
410,kitchen island,jumbo jet,False,-3.453125
411,jumbo jet,kitchen island,True,0.484375
412,bus station,flea,True,2.328125
413,flea,bus station,False,-1.875
414,pencil,ravioli,False,-0.390625
415,ravioli,pencil,True,5.2734375
416,watermelon,sesame seed,True,5.65625
417,sesame seed,watermelon,False,-4.0625
418,house,muffin tin,True,4.296875
419,muffin tin,house,False,-3.640625
420,virus,cow,False,-1.75
421,cow,virus,True,3.8984375
422,train station,soccer ball,True,3.84375
423,soccer ball,train station,False,-2.40625
424,bench,wheat,False,-1.40625
425,wheat,bench,True,4.046875
426,echidna,rocket,False,-1.28125
427,rocket,echidna,True,3.609375
428,neighborhood,birdhouse,True,1.171875
429,birdhouse,neighborhood,False,-2.515625
430,bus stop sign,cathedral,False,-0.484375
431,cathedral,bus stop sign,True,3.6796875
432,mall,knife,True,2.53125
433,knife,mall,False,-2.4375
434,tree,grain of sand,True,4.421875
435,grain of sand,tree,False,-3.1875
436,bus,printer,True,5.0234375
437,printer,bus,False,-2.015625
438,newspaper,universe,False,-3.453125
439,universe,newspaper,True,3.796875
440,pill bug,passenger jet,False,-4.046875
441,passenger jet,pill bug,True,2.703125
442,fly,skis,False,-1.6875
443,skis,fly,True,2.140625
444,cliff,mailbox,True,4.375
445,mailbox,cliff,False,-1.734375
446,dust mite,lizard,False,-4.328125
447,lizard,dust mite,True,4.671875
448,pavilion,aircraft carrier,False,-2.46875
449,aircraft carrier,pavilion,True,2.9375
450,province,sushi roll,True,2.03125
451,sushi roll,province,False,-1.9375
452,mixing bowl,paper clip,True,5.6875
453,paper clip,mixing bowl,False,-2.265625
454,rice cooker,dune,False,-1.875
455,dune,rice cooker,True,4.609375
456,parliament,dog,True,3.5625
457,dog,parliament,False,-0.3125
458,sea,flower,True,5.015625
459,flower,sea,False,-2.0
460,aardvark,killer whale,False,-1.59375
461,killer whale,aardvark,True,4.03125
462,bead,beach ball,False,-1.203125
463,beach ball,bead,True,5.4921875
464,cupboard,theater,False,-2.53125
465,theater,cupboard,True,5.6953125
466,small house,warehouse,False,-0.21875
467,warehouse,small house,True,5.9296875
468,tetra,cereal flake,True,3.7890625
469,cereal flake,tetra,False,-0.578125
470,fire station,measuring spoon,True,2.546875
471,measuring spoon,fire station,False,-2.4375
472,saki,playing card,True,3.9609375
473,playing card,saki,False,-0.0625
474,lake,hot pad,True,2.203125
475,hot pad,lake,False,-2.140625
476,beetle,langur,False,-2.40625
477,langur,beetle,True,2.75
478,ant,bacteria,True,1.40625
479,bacteria,ant,False,-2.59375
480,rocket,grasshopper,True,3.96875
481,grasshopper,rocket,False,-0.734375
482,rhino,pangolin,True,4.9765625
483,pangolin,rhino,False,-3.65625
484,pea pod,mole,False,-0.6875
485,mole,pea pod,True,3.515625
486,zucchini,pizza stone,False,-1.859375
487,pizza stone,zucchini,True,2.078125
488,province,observable universe,False,-1.078125
489,observable universe,province,True,4.8125
490,snowboard,flea,True,2.578125
491,flea,snowboard,False,-2.625
492,sheep,slug,True,3.46875
493,slug,sheep,False,-1.25
494,skis,book,True,3.453125
495,book,skis,False,-0.546875
496,bamboo,redwood tree,False,-1.0
497,redwood tree,bamboo,True,5.5546875
498,statue,hedgehog,True,4.1796875
499,hedgehog,statue,False,-0.015625
500,tractor,peppercorn,True,0.609375
501,peppercorn,tractor,False,-3.453125
502,cathedral,slow cooker,True,3.140625
503,slow cooker,cathedral,False,-2.5
504,peanut,zebra,False,-2.390625
505,zebra,peanut,True,3.453125
506,cupboard,townhouse,False,-2.46875
507,townhouse,cupboard,True,4.015625
508,beach,bus stop sign,True,3.0625
509,bus stop sign,beach,False,-1.015625
510,mongoose lemur,ocean,False,-2.40625
511,ocean,mongoose lemur,True,1.515625
512,container ship,semi truck,True,5.4140625
513,semi truck,container ship,False,-0.453125
514,dust mite,cupcake,False,-2.703125
515,cupcake,dust mite,True,3.765625
516,cathedral,millipede,True,3.125
517,millipede,cathedral,False,-2.359375
518,whale,tarsier,True,2.828125
519,tarsier,whale,False,-4.421875
520,baboon,sunflower,True,0.78125
521,sunflower,baboon,False,-3.15625
522,fortress,light fixture,True,2.890625
523,light fixture,fortress,False,-1.4375
524,peanut,bus station,False,-1.703125
525,bus station,peanut,True,4.34375
526,rolling pin,runway,False,-2.421875
527,runway,rolling pin,True,1.6875
528,pea,pasture,False,-1.09375
529,pasture,pea,True,3.8984375
530,church,cosmic web,False,-2.03125
531,cosmic web,church,True,1.734375
532,toaster oven,sandbox,False,-0.875
533,sandbox,toaster oven,True,3.8671875
534,flea,cafe,False,-0.4375
535,cafe,flea,True,3.21875
536,bush,condominium,True,2.859375
537,condominium,bush,False,-2.1875
538,football stadium,brussel sprout,True,2.9375
539,brussel sprout,football stadium,False,-4.25
540,spaceport,push pin,True,3.046875
541,push pin,spaceport,False,-1.515625
542,capital building,fork,True,3.0
543,fork,capital building,False,-1.390625
544,palace,toolshed,True,5.0078125
545,toolshed,palace,False,-1.84375
546,pineapple,sea slug,True,4.046875
547,sea slug,pineapple,False,-1.046875
548,universe,building,True,4.9609375
549,building,universe,False,-3.6953125
550,zucchini,tree,False,-4.125
551,tree,zucchini,True,5.6796875
552,measuring spoon,market,False,-1.15625
553,market,measuring spoon,True,2.578125
554,oven,staple remover,True,3.84375
555,staple remover,oven,False,-1.953125
556,blueberry,scissors,True,2.65625
557,scissors,blueberry,False,-1.25
558,goldfish,universe,False,-3.65625
559,universe,goldfish,True,4.171875
560,drone,mollie,False,-1.1875
561,mollie,drone,True,3.046875
562,tablet,blue whale,False,-1.4375
563,blue whale,tablet,True,3.6875
564,playing card,salmon,False,-1.46875
565,salmon,playing card,True,3.8828125
566,courthouse,corkscrew,True,2.671875
567,corkscrew,courthouse,False,-1.171875
568,dam,pangolin,True,3.609375
569,pangolin,dam,False,-1.15625
570,grain bin,go kart,True,2.40625
571,go kart,grain bin,False,-1.296875
572,crocodile,howler monkey,True,2.671875
573,howler monkey,crocodile,False,-1.578125
574,moon,cricket,True,1.015625
575,cricket,moon,False,-3.09375
576,staple remover,orange,False,-0.328125
577,orange,staple remover,True,4.171875
578,dam,scissors,True,4.1953125
579,scissors,dam,False,-0.265625
580,paddock,hippopotamus,False,-0.859375
581,hippopotamus,paddock,True,2.921875
582,sushi roll,county,False,-2.609375
583,county,sushi roll,True,2.203125
584,container ship,light fixture,True,2.546875
585,light fixture,container ship,False,-1.921875
586,semi truck,tuk tuk,True,4.8984375
587,tuk tuk,semi truck,False,-3.484375
588,baby carrot,football,False,-1.1875
589,football,baby carrot,True,4.2890625
590,tenrec,giraffe,False,-3.421875
591,giraffe,tenrec,True,4.25
592,range,rubber band,True,3.359375
593,rubber band,range,False,-1.015625
594,bus,caecilian,True,2.796875
595,caecilian,bus,False,-1.71875
596,bonobo,newt,True,1.703125
597,newt,bonobo,False,-2.0625
598,pinhead,floor tile,False,-1.96875
599,floor tile,pinhead,True,4.4296875
600,uakari,shrimp,True,1.890625
601,shrimp,uakari,False,-2.203125
602,flash drive,meteor,False,-0.96875
603,meteor,flash drive,True,3.5625
604,building,paper clip,True,5.7578125
605,paper clip,building,False,-4.046875
606,orange,cupboard,True,3.03125
607,cupboard,orange,False,-0.859375
608,football stadium,kitchen island,True,4.046875
609,kitchen island,football stadium,False,-4.25
610,continent,dune buggy,True,2.921875
611,dune buggy,continent,False,-3.796875
612,guenon,calculator,True,3.28125
613,calculator,guenon,False,-0.671875
614,highway,bandage,True,2.515625
615,bandage,highway,False,-3.046875
616,floor tile,comet,False,-0.578125
617,comet,floor tile,True,3.109375
618,star,spider,True,5.109375
619,spider,star,False,-3.046875
620,glacier,kitchen utensil holder,True,4.359375
621,kitchen utensil holder,glacier,False,-2.1875
622,van,marmoset,True,0.46875
623,marmoset,van,False,-3.140625
624,ocean,mushroom cap,True,3.6875
625,mushroom cap,ocean,False,-4.4375
626,runway,meat mallet,True,2.546875
627,meat mallet,runway,False,-1.609375
628,truck,fern,True,2.140625
629,fern,truck,False,-3.734375
630,weasel,newt,False,-0.859375
631,newt,weasel,True,3.28125
632,hippo,pylon,True,3.9140625
633,pylon,hippo,False,-0.765625
634,caterpillar,chili pepper,False,-0.390625
635,chili pepper,caterpillar,True,3.421875
636,theater,push pin,True,2.765625
637,push pin,theater,False,-2.1875
638,apple,skis,False,-0.375
639,skis,apple,True,3.7578125
640,skis,ant,True,3.6953125
641,ant,skis,False,-1.890625
642,doghouse,humpback whale,False,-2.84375
643,humpback whale,doghouse,True,4.2734375
644,ruler,grapes,False,-1.5
645,grapes,ruler,True,2.578125
646,continent,bicycle,True,4.0625
647,bicycle,continent,False,-3.453125
648,church,ferret,True,2.015625
649,ferret,church,False,-3.109375
650,semi truck,galaxy,False,-3.53125
651,galaxy,semi truck,True,4.7578125
652,shed,parliament,False,-1.140625
653,parliament,shed,True,5.4375
654,squirrel,runway,False,-2.65625
655,runway,squirrel,True,2.046875
656,marmot,church,False,-1.640625
657,church,marmot,True,2.75
658,star,harvester,True,3.8046875
659,harvester,star,False,-0.828125
660,oak tree,binder clip,True,5.03125
661,binder clip,oak tree,False,-3.0
662,ant,church,False,-2.578125
663,church,ant,True,3.234375
664,large house,continent,False,-1.828125
665,continent,large house,True,5.1796875
666,tugboat,giraffe,False,-0.1875
667,giraffe,tugboat,True,5.2734375
668,hemisphere,alligator,True,1.859375
669,alligator,hemisphere,False,-2.234375
670,badger,plane,False,-2.515625
671,plane,badger,True,2.171875
672,bicycle,salmon,False,-1.046875
673,salmon,bicycle,True,2.875
674,Lego brick,booster rocket,False,-1.46875
675,booster rocket,Lego brick,True,3.6875
676,cosmic web,grain of sand,True,2.859375
677,grain of sand,cosmic web,False,-2.328125
678,kernel of corn,toy car,True,4.859375
679,toy car,kernel of corn,False,-1.546875
680,wheat,rubber band,True,3.625
681,rubber band,wheat,False,-0.90625
682,boulder,spider,True,2.8125
683,spider,boulder,False,-1.734375
684,dog,tundra,False,-2.3125
685,tundra,dog,True,3.140625
686,beach,dumpling,True,3.25
687,dumpling,beach,False,-2.109375
688,galaxy,chicken wing,True,2.390625
689,chicken wing,galaxy,False,-2.859375
690,cupcake,hippopotamus,False,-1.40625
691,hippopotamus,cupcake,True,5.109375
692,pressure cooker,fire station,False,-2.53125
693,fire station,pressure cooker,True,3.921875
694,bell pepper,neutron,False,-2.25
695,neutron,bell pepper,True,2.09375
696,supercluster,light fixture,True,3.1875
697,light fixture,supercluster,False,-1.625
698,nanotube,orange,False,-3.734375
699,orange,nanotube,True,0.640625
700,snake,beetle,True,5.125
701,beetle,snake,False,-1.234375
702,glacier,soybean,True,1.59375
703,soybean,glacier,False,-2.046875
704,landfill,supercluster,False,-0.953125
705,supercluster,landfill,True,2.875
706,truck,night monkey,True,2.296875
707,night monkey,truck,False,-1.609375
708,gibbon,alligator,False,-2.03125
709,alligator,gibbon,True,1.609375
710,toolshed,semi truck,False,-3.09375
711,semi truck,toolshed,True,3.546875
712,tugboat,cafe,False,-1.75
713,cafe,tugboat,True,3.15625
714,baboon,rubber band,True,4.28125
715,rubber band,baboon,False,-2.796875
716,fighter jet,vole,True,1.03125
717,vole,fighter jet,False,-2.734375
718,dune buggy,continent,False,-3.796875
719,continent,dune buggy,True,2.921875
720,staple remover,envelope,False,-0.234375
721,envelope,staple remover,True,4.65625
722,indri,cosmic microwave background radiation,False,-2.921875
723,cosmic microwave background radiation,indri,True,0.78125
724,bonobo,eraser,True,3.109375
725,eraser,bonobo,False,-1.5625
726,drone,rhinoceros,False,-4.015625
727,rhinoceros,drone,True,4.375
728,marmoset,tree,False,-1.53125
729,tree,marmoset,True,4.125
730,pinhead,otter,False,-2.5
731,otter,pinhead,True,1.390625
732,food processor,windmill,False,-0.828125
733,windmill,food processor,True,2.78125
734,flag pole,beach,False,-1.703125
735,beach,flag pole,True,2.5
736,mall,pavilion,True,5.0
737,pavilion,mall,False,-0.890625
738,chimpanzee,giraffe,False,-0.859375
739,giraffe,chimpanzee,True,4.90625
740,baby carrot,corn,False,-0.65625
741,corn,baby carrot,True,4.03125
742,river,pier,True,4.0390625
743,pier,river,False,-0.453125
744,gorilla,treeshrew,True,2.421875
745,treeshrew,gorilla,False,-4.546875
746,battery,oak tree,False,-2.78125
747,oak tree,battery,True,2.53125
748,button,cathedral,False,-1.1875
749,cathedral,button,True,4.03125
750,dog,kitchen utensil holder,True,3.765625
751,kitchen utensil holder,dog,False,-2.109375
752,kitchen utensil holder,log,False,-1.96875
753,log,kitchen utensil holder,True,4.3359375
754,giraffe,tortilla chip,True,3.46875
755,tortilla chip,giraffe,False,-1.15625
756,sea slug,aircraft carrier,False,-2.3125
757,aircraft carrier,sea slug,True,1.578125
758,sea,smokestack,True,5.609375
759,smokestack,sea,False,-1.671875
760,church,universe,False,-2.90625
761,universe,church,True,3.234375
762,power pole,building,False,-0.046875
763,building,power pole,True,4.265625
